file,exists,kind,count,sources,recommendation,exports,absPath
"src/app/api/auth/[...nextauth]/route.ts",true,api-route,2,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/auth/[...nextauth]/route.ts"
"src/app/api/emails/route.ts",true,api-route,2,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/emails/route.ts"
"src/app/api/exchange/route.ts",true,api-route,2,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/exchange/route.ts"
"src/app/api/monitoring/metrics/route.ts",true,api-route,2,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/monitoring/metrics/route.ts"
"src/app/api/notifications/[id]/route.ts",true,api-route,2,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/notifications/[id]/route.ts"
"src/app/api/notifications/route.ts",true,api-route,2,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/notifications/route.ts"
"src/app/api/test/apis/route.ts",true,api-route,2,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/test/apis/route.ts"
"src/app/api/users/route.ts",true,api-route,2,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/users/route.ts"
"src/app/area-cliente/page.tsx",true,page,2,"ts-prune",keep,"dynamic|function","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/area-cliente/page.tsx"
"src/app/area-cliente/perfil/page.tsx",true,page,2,"ts-prune",keep,"dynamic|function","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/area-cliente/perfil/page.tsx"
"src/app/cliente/page.tsx",true,page,2,"ts-prune",keep,"dynamic|function","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/cliente/page.tsx"
"src/app/cliente/perfil/page.tsx",true,page,2,"ts-prune",keep,"dynamic|function","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/cliente/perfil/page.tsx"
"src/app/cliente/seguranca/page.tsx",true,page,2,"ts-prune",keep,"dynamic|function","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/cliente/seguranca/page.tsx"
"src/app/cliente/sessoes/page.tsx",true,page,2,"ts-prune",keep,"dynamic|function","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/cliente/sessoes/page.tsx"
"src/app/unauthorized/page.tsx",true,page,2,"ts-prune",keep,"dynamic|function","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/unauthorized/page.tsx"
"src/components/theme-provider.tsx",true,component,2,"ts-prune",manual,"ThemeProvider|useTheme","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/components/theme-provider.tsx"
"src/components/ui/alert-dialog.tsx",true,component,2,"ts-prune",manual,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/components/ui/alert-dialog.tsx"
"src/components/ui/sheet.tsx",true,component,2,"ts-prune",manual,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/components/ui/sheet.tsx"
"src/components/ui/ThemeProviderZustand.tsx",true,component,2,"ts-prune",manual,"ThemeToggleZustand|ThemeToggleZustand|HydrateCurrentUser","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/components/ui/ThemeProviderZustand.tsx"
"src/configs/navigationConfig.ts",true,other,2,"ts-prune",manual,"NavigationItem|navigationConfig","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/configs/navigationConfig.ts"
"src/configs/themeOptions.ts",true,other,2,"ts-prune",manual,"ThemeOption|themeOptions","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/configs/themeOptions.ts"
